事業所名,事業種別,事業内容,事業所所在地,電話番号,PR,adress,lon,lat
サンモリッツ,小売業,"パン屋
食パン､菓子パン､サンドイッチ､
フランスパン等
自家製のパンを製造販売しています",小山3ｰ34-6,042-773-3697,"お子様にお菓子をプレゼント
当店のラスクは人気があります",神奈川県相模原市中央区小山3ｰ34-6,139.3554445,35.5850016
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
セブンイレブン相模原小山3丁目店,小売業,コンビニエンスストア,小山3-781-1,042-771-1787,NA,神奈川県相模原市中央区小山3-781-1,139.3556975,35.5869011
花膳,飲食業,お蕎麦、定食、お酒の美味しい飲食店です。,小山3-32-7,042-774-7185,NA,神奈川県相模原市中央区小山3-32-7,139.3554886,35.5854389
村田ピアノ音楽院,サービス業,"ピアノ教室です。子供からお年寄りまで、初級者から
ピアノの先生まで、幅広く、分かりやすく教えていま
す。初めてのピアノでもご安心していらして下さい。",小山3-2-10,042-865-1528,"１０月～１１月末の間にご入会した方は初月のレッスン
代を半額にいたします。",神奈川県相模原市中央区小山3-2-10,139.3575713,35.5860258
焼肉ニューモランボン,飲食業,NA,小山3丁目31-6,042-772-4025,NA,神奈川県相模原市中央区小山3丁目31-6,139.3555448,35.5856085
ヨガ スタジオ エナルジア,その他,"ヨガレッスンや指導者養成講座を開催するヨガスタジ
オ",小山3-5-1-101,090-8495-2544 新規メンバー登録を無料にします！,NA,神奈川県相模原市中央区小山3-5-1-101,139.3577246,35.5851337
OSHARE SALON 777,サービス業,"お子さんからご年配の方まで、幅広く皆様でご利用い
ただけるヘアサロンです。",鹿沼台2-10-5,042-759-1435,NA,神奈川県相模原市中央区鹿沼台2-10-5,139.3901985,35.5686246
アロマスクールMori Note,サービス業,アロマスクール,鹿沼台1-4-10カーサ・アフェット4-A,050-3555-0874 ハーブバスプレゼント,NA,神奈川県相模原市中央区鹿沼台1-4-10カーサ・アフェット4-A,139.3914385,35.5692082
エステクィーン,サービス業,エステティックサロン,鹿沼台1-13-11-305,042-769-4696,"何時も有難うございます。
初回フェイシャルorボディコース
9900円→5500円にておためし出来ます。",神奈川県相模原市中央区鹿沼台1-13-11-305,139.3956691,35.567259
王家餃子,飲食業,NA,鹿沼台2-11-1チサンマンション鹿沼公園105号室,042-776-0566,NA,神奈川県相模原市中央区鹿沼台2-11-1チサンマンション鹿沼公園105号室,139.3916964,35.5682928
オレンジ薬局鹿沼台店,"小売業/サービス
業",医薬品製造販売、化粧品,鹿沼台2-21-15-1F,042-757-1125,NA,神奈川県相模原市中央区鹿沼台2-21-15-1F,139.3940766,35.5673575
かざなは 淵野辺店,飲食業,パン販売店,鹿沼台2-12-13,090-3800-7426,700円以上のレシート10枚で食パンプレゼント!!,神奈川県相模原市中央区鹿沼台2-12-13,139.3938987,35.5677366
クレープミン,飲食業,"焼きたてもちもち生地のクレープ屋です。毎日作り立
てのタピオカドリンクもあります。",鹿沼台1-2-14 箭内ビル1階,070-8366-0599,お得なスタンプカードがございます。,神奈川県相模原市中央区鹿沼台1-2-14 箭内ビル1階,139.3898116,35.5689419
児玉理恵税理士事務所,サービス業,税理士業,鹿沼台2-9-20-113,042-853-1818,NA,神奈川県相模原市中央区鹿沼台2-9-20-113,139.3894716,35.5669705
寿司dining松もと,飲食業,寿司店,鹿沼台1-13-9    フェアリー1階,042-707-9441,NA,神奈川県相模原市中央区鹿沼台1-13-9    フェアリー1階,139.3955566,35.5673463
セブンイレブン相模原鹿沼台南店,小売業,コンビニエンスストア,鹿沼台二丁目5-16,042-753-9455,NA,神奈川県相模原市中央区鹿沼台二丁目5-16,139.3880836,35.5667395
セブンイレブン相模原淵野辺駅南口店,小売業,NA,鹿沼台1-13-5,042-753-3676,NA,神奈川県相模原市中央区鹿沼台1-13-5,139.395367,35.5674731
ダイワサイクル相模原店,小売業,自転車の販売・修理,鹿沼台2-6-14,042-704-6788,"・ダイワサイクルで購入いただくと自転車の出張費無
料の出張修理サービスが付いてきます。",神奈川県相模原市中央区鹿沼台2-6-14,139.3894795,35.5661142
つばめ鍼灸接骨院,その他,マッサージ治療 鍼灸治療,鹿沼台2-11-1-108,042-755-0551,"キャンペーン利用のお客様には１０００円割引券プレ
ゼント",神奈川県相模原市中央区鹿沼台2-11-1-108,139.3916743,35.5682796
手打蕎麦SOBA.る,飲食業,"国産のそば粉を季節ごとに産地を変えて10割そばと
粗挽きニハそばの2種類打つ手打そば屋です",鹿沼台2-11-1チサンマンション102,042-707-8588,NA,神奈川県相模原市中央区鹿沼台2-11-1チサンマンション102,139.3916743,35.5682796
ナチュラル鍼灸治療院,その他,鍼灸・あん摩マッサージ、スポーツ鍼灸マッサージなど 鹿沼台1-13-11 カーサ鹿沼台205,NA,042-753-6099,"【初回の方限定】
・指圧マッサージ50分：￥5,500 → ￥2,980(税込)
・骨盤矯正50分：￥6,600 → ￥3,980(税込)
以上の特別価格にてご案内しております。",神奈川県相模原市中央区NA,139.3754694,35.5559466
ファミリーマート相模原鹿沼台二丁目店,小売業,コンビニストア,鹿沼台2-12-9,042-730-5830,NA,神奈川県相模原市中央区鹿沼台2-12-9,139.3940036,35.5678557
ヘアーガーデンエスコート,サービス業,髪と頭皮に優しい　美容室,鹿沼台2-11-1-101,042-750-2212,"髪と頭皮の悩みを　お聞かせ下さい 
ダメージからの抜け毛　頭皮のからの抜け毛沢山あり
ますよ 
一度ご相談ください",神奈川県相模原市中央区鹿沼台2-11-1-101,139.3916743,35.5682796
ヘアリゾートクランプ,サービス業,理美容業,鹿沼台2-10-13,042-751-4600,NA,神奈川県相模原市中央区鹿沼台2-10-13,139.3911821,35.5683568
ローズ薬局,"小売業/サービス
業",医薬品製造、販売,鹿沼台2-12-2-1階,042-704-9745,NA,神奈川県相模原市中央区鹿沼台2-12-2-1階,139.3929093,35.5680958
ワミレスサロン淵野辺パステル,"小売業/サービス
業","ワミレス化粧品を取り扱うフェイシャルサロンです。
お肌のモイスチャーバランスを整えて健やかな肌への
お手伝いをさせて頂きます。",鹿沼台1-5-5CasaBrezza101,042-810-9859,"初回体験2,200円にご優待致します。期間中お得に始
められるコースもご用意してます。",神奈川県相模原市中央区鹿沼台1-5-5CasaBrezza101,139.3912599,35.5698695
~sora~,サービス業,"ヘア＆まつげ＆着付＆撮影『貸切プライベート美容
室！』 
 『女性は誰もが一生プリンセス』 
 発達障がいの方のヘアカット！ 
 高齢者などの訪問美容も承っています",上溝5-12-17-1階,042-815-3474,"◆まつ毛エクステフラットラッシュ100本 
 7150円→初回5500円 
 ◆カット＆白髪染め根本＆高濃度水素トリートメント 
 11550円→初回9900円 
 ◆30分撮影33000円→初回16500円",神奈川県相模原市中央区上溝5-12-17-1階,139.359947,35.5585385
Casual Dining RIGO,飲食業,BAR,上溝6-1-8 スカイハイツ上溝101号,042-746-1593,NA,神奈川県相模原市中央区上溝6-1-8 スカイハイツ上溝101号,139.3572045,35.5571743
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
旭屋のお城マルシェ,"小売業/飲食業/
その他","新鮮なお野菜 
地域の特産物 
食料品、お惣菜などの販売 
カフェコーナー有り",水郷田名2-14-52,042-762-6262,NA,神奈川県相模原市中央区水郷田名2-14-52,139.3289671,35.5462654
（資）新井畳店,その他,畳の新調、表張替、裏返し,水郷田名2-2-27,042-762-1660,見積もり無料,神奈川県相模原市中央区水郷田名2-2-27,139.3307818,35.5453262
江成植木,その他,植木の手入れ等,水郷田名2-20-1,042-761-2108,NA,神奈川県相模原市中央区水郷田名2-20-1,139.3290945,35.544144
駄菓子の専門店 マミー,小売業,菓子、飲料、アイスクリーム、おもちゃ,水郷田名2-13-25,042-762-9952,NA,神奈川県相模原市中央区水郷田名2-13-25,139.3291738,35.5453212
（株）ニイヤ,小売業,"LPガス、灯油、給湯器、キッチン、トイレ、浴室、水回り
の設備
水、お家のリフォームなど",水郷田名2-18-11,042-762-0320,NA,神奈川県相模原市中央区水郷田名2-18-11,139.3290549,35.5451655
ヤマザキショップ水郷田名にしかわ店,小売業,"米穀・酒類・飲食料品・雑貨・菓子等小売業及び宅配
含む",水郷田名2-18-5,042-762-0254,"ポイントカード（300円毎1点）・食パンカード（10カード
で1斤無料）",神奈川県相模原市中央区水郷田名2-18-5,139.3289389,35.5453492
アベ電化,小売業,家電の販売,すすきの町3-1,042-755-5695,クリアファイル進呈,神奈川県相模原市中央区すすきの町3-1,139.366731,35.5871361
エレショップセキグチ,小売業,電気製品の販売修理工事,すすきの町41-12,042-752-9743,見積無料,神奈川県相模原市中央区すすきの町41-12,139.3688152,35.591648
Dテニススクール相模原,"サービス業/その
他","インドアのテニス・ゴルフスクールです。 
テニス、ゴルフのレッスンを行ってます。 
空きコートのレンタル、ラケット等テニス用品販売も
行っています。",清新6-1-20 2F,042-703-1747,"冷暖房完備で気温天候を問わずにテニスを楽しめま
す。 
10月からはゴルフスクールも開講！！ 
今ならテニスもゴルフも体験レッスン無料です！！ 
さらにお得な入会キャンペーンも実施中！！",神奈川県相模原市中央区清新6-1-20 2F,139.3603258,35.5768041
ENEOS Dr.Drive清新店,小売業,"セルフのガソリンスタンドで車検・整備・鈑金・中古車
販売・自動車保険・手洗い洗車・コーティング・レンタ
カー等も取扱っております。",清新5-22-1,042-775-8005,NA,神奈川県相模原市中央区清新5-22-1,139.3575019,35.5808911
Hair Wave,サービス業,ヘアーサロンです,清新7-14-33,042-707-8315,NA,神奈川県相模原市中央区清新7-14-33,139.3630057,35.5756373
Sagami Natural Fitness LINO,サービス業,パーソナルトレーニング,清新1-1-15MKビルA-1,042-814-7502,初回無料体験サービス実施中,神奈川県相模原市中央区清新1-1-15MKビルA-1,NA,NA
（一社）さがみ大工道具館,小売業,打刃物・大工道具の販売,清新5-1-26,042-703-3320,NA,神奈川県相模原市中央区清新5-1-26,139.3610105,35.5787903
己書まごころ道場,サービス業,"相模原市で己書(おのれしょ)という筆ペンを使った筆
文字教室を開催しています。
己書(おのれしょ)とは、
”絵を描くように字を描く書”です。",清新6-16-21富志正第5ビル105,090-6101-4321,"・相模原市でスクールや教室、新しい趣味を探してい
る方
・初心者でもすぐに出来る習い事をしてみたい方
・字を描くことにコンプレックスを持っている方にもオス
スメです。 
初回体験1100円",神奈川県相模原市中央区清新6-16-21富志正第5ビル105,139.3563122,35.5787622
海鮮Cafe＆Bar GRAVE,飲食業,海鮮居酒屋,清新1-6-18けやきビル１階,042-707-8844,NA,神奈川県相模原市中央区清新1-6-18けやきビル１階,139.3645514,35.5816525
カリメーラ,小売業,自家製天然酵母と国産小麦のパンを販売しています,清新3-14-14,042-750-1949,"2004年オープン
自家製天然酵母と国産小麦のパンを販売しているお
店です
どうぞお越し下さいませ",神奈川県相模原市中央区清新3-14-14,139.3630599,35.5773
カレーハウスCoCo壱番屋相模原清新店,飲食業,カレー専門店,清新8-2-5コモド相模原1F,042-752-5404,NA,神奈川県相模原市中央区清新8-2-5コモド相模原1F,139.3632921,35.5716511
クリーニング ダブ,サービス業,クリーニング師が常駐しているクリーニング店です,清新2-8-8,042-753-2637,8:00amから11:00amまで　タイムセール5%off実施中,神奈川県相模原市中央区清新2-8-8,139.3625187,35.5799415
（株）サガミ住器センター,小売業,建築金物の販売,清新5-1-2,042-773-6540,NA,神奈川県相模原市中央区清新5-1-2,139.3609323,35.5784744
さがみはらねこの病院,その他,猫専門の動物病院です。,清新8-1-6,042-786-1234,NA,神奈川県相模原市中央区清新8-1-6,139.3637971,35.57191359999999
サトーメガネ相模原清新店,小売業,眼鏡販売,清新5-10-17,042-770-2882,県内最大規模、約3000本の展示本数のメガネ屋です,神奈川県相模原市中央区清新5-10-17,139.3597131,35.5797059
真田砿油（株）,小売業,ガソリンスタンド,清新5-11-24,042-772-3698,NA,神奈川県相模原市中央区清新5-11-24,139.3590042,35.5799698
セブンイレブン相模原清新7丁目店,小売業,コンビニエンスストア,清新7-14-21,042-757-1017,NA,神奈川県相模原市中央区清新7-14-21,139.3612999,35.5763264
セブンイレブン相模原南橋本店,小売業,NA,清新5-26-14,042-771-0590,NA,神奈川県相模原市中央区清新5-26-14,139.3552552,35.5803888
そば処　きしや,飲食業,日本蕎麦屋です。,清新1-6-17,042-752-5391,NA,神奈川県相模原市中央区清新1-6-17,139.3643828,35.5817003
大寿し,飲食業,"赤シャリの寿司屋です。
地酒等も各種取り揃えています。",清新8-2-17,042-756-2286,次回使用できる割引券の配布,神奈川県相模原市中央区清新8-2-17,139.3633669,35.5717854
タカハシ 清新店,小売業,"婦人服、紳士服、子供服、および靴下、下着類 
ならびに生活雑貨品を販売しています。",清新8-2-16,050-3665-8345,"アプリ新規登録割引 
アプリ来店ポイント割引",神奈川県相模原市中央区清新8-2-16,139.3632594,35.57165579999999
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
ひばり鍼灸整骨院,その他,"整骨院・鍼灸院 
整体（自費施術）・トレーニング・ヘッドマッサージなど、 
お身体の痛みやお悩みに合わせてメニューをご提案
します。",清新1-6-1ドゥセゾン1F,042-810-0393,お得な回数券もご用意しております！,神奈川県相模原市中央区清新1-6-1ドゥセゾン1F,139.3648191,35.58148389999999
美容サロンPlana,サービス業,"フェイシャルエステを主に
まつ毛育成メニュー、耳つぼメニュー、お顔のwax脱
毛を施術させて頂いているエステサロンです",清新5-3-5,090-5426-5574,NA,神奈川県相模原市中央区清新5-3-5,139.3602356,35.5778182
ファミリーマート清新6丁目店,小売業,コンビニ,清新6-18-15,042-700-2051,NA,神奈川県相模原市中央区清新6-18-15,139.3550524,35.5764831
便利屋にゃんこの手,サービス業,"遺品整理・生前整理 
家事代行・片付けのお手伝い 
など、家庭のお困り事を解決します。",清新5-7-16,070-7526-0022,"お見積もり・相談無料 
即日作業も都合が合えば対応可能 
「特設ウェブサイトを見ました」 
で、割引致します。",神奈川県相模原市中央区清新5-7-16,139.3588304,35.5787655
ローソン相模原清新一丁目店,小売業,コンビニ,清新1-2-2,042-757-0050,NA,神奈川県相模原市中央区清新1-2-2,139.3656123,35.5814125
（有）相模交通,サービス業,"一般乗用旅客自動車運送事業　
タクシー",高根1-3-1,042-752-4559,NA,神奈川県相模原市中央区高根1-3-1,139.3930307,35.5638126
相模原甲羅本店,飲食業,"かに料理・和風料理を個室、半個室にてご提供。
テイクアウトもございます。",高根1-6-1,042-786-5035,"甲羅メンバーズカードご入会（入会費200円・年会費無
料）で
次回使用できる「かに刺身2人前」のプレゼント券配
布。",神奈川県相模原市中央区高根1-6-1,139.3939979,35.5634281
相模原市立博物館ミュージアムショップ,その他,運送業,高根3-1-15,042-750-8030,500円以上お買い上げの方にノベルティプレゼント,神奈川県相模原市中央区高根3-1-15,139.3928033,35.5593611
スナックモンロー,サービス業,カラオケスナック,高根2-2-18,042-759-0236,NA,神奈川県相模原市中央区高根2-2-18,139.3882181,35.56202469999999
セブンイレブン相模原高根1丁目店,小売業,NA,高根1-1-14,042-753-9023,NA,神奈川県相模原市中央区高根1-1-14,139.391975,35.5638985
手打蕎麦 加寿屋,飲食業,"昼は充実のランチメニュー、夜は充実のおつまみ。北
海道幌加内産のそば粉を使った本格的な手打そば屋
です。",高根2-2-16,042-757-1313,NA,神奈川県相模原市中央区高根2-2-16,139.3883336,35.5618857
博多屋台や 相模原店,飲食業,九州料理と九州地酒,高根1-6-3,042-786-2381,"大人三名様以上、5000円以上ご利用でお会計から
1,000円引き
※ランチメニューはご利用いただけません。
※ご利用の際はホットペッパーのクーポン画面をご提
示してください。",神奈川県相模原市中央区高根1-6-3,139.3943154,35.5632705
萩原製畳（有）,小売業,畳・襖・障子の新規製作や張替えを行っております。,高根2-1-18,042-752-4924,"畳工事と襖工事を一緒にご注文いただくと
襖張替え金額が1面500円引きになります。",神奈川県相模原市中央区高根2-1-18,139.3902183,35.5629598
細谷サイクル,小売業,自転車販売修理,高根2-1-17,042-752-2346,エアー　オイルサービス,神奈川県相模原市中央区高根2-1-17,139.3900894,35.56293429999999
（株）山田朱織枕研究所 神奈川相模原本店,サービス業,オーダーメイド枕の計測販売,高根1-3-7 2F,042-776-2025,NA,神奈川県相模原市中央区高根1-3-7 2F,139.3935708,35.5635929
BLOW,その他,"自動車部品・バイク部品 マスター制作 成形型制作 及
び 量産、OEM他自社ブランド開発 及び 販売、特装
車輌の防水、暗室制作、FRP成形全般他。",田名8531-3,042-777-0453,NA,神奈川県相模原市中央区田名8531-3,139.34558,35.5373279
C&E,その他,"相模原市内にて住宅設備（ガス回り、水回り、鍵回り）
の修理・交換サービスを行なっております。",田名2851-13,042-866-4188,"相模原市内のお客様、現地調査お見積り無料にてお
伺いさせて頂きます！",神奈川県相模原市中央区田名2851-13,139.3388066,35.5679827
ENEOS 田名 SS,小売業,ガソリンスタンド,田名4104-2,042-761-2800,NA,神奈川県相模原市中央区田名4104-2,139.3443444,35.5545753
hair room 3piece,サービス業,"ヘアケア商品、シャンプー等を販売しています。地域
密着型の美容院です。",田名4738-12,042-778-1011,NA,神奈川県相模原市中央区田名4738-12,139.3343177,35.5532591
MSオート,その他,自動車修理、販売、車検代行業,田名10391-1,042-778-1366,NA,神奈川県相模原市中央区田名10391-1,139.3641151,35.5341311
（有）NDSエンジニアリング,その他,"生産設備の設計製作・修理・改造・メンテナンス
機械加工
電気・機械の応援工事
感染対策用品の制作
オーダーメイドカー用品製作",田名5407-2,042-760-2789,"交換用殺菌灯ランプを１つプレゼント
効果的な設置箇所ご相談承ります！",神奈川県相模原市中央区田名5407-2,139.3389937,35.54749520000001
SaIon de MIE,サービス業,"理美容店女性男性OK 
 赤ちゃん筆承ります 
 ヘッドスパ 
 寝たきり高齢者出張 
 色々メニュー有りますのでご相談ください",田名4749-21,042-762-5182,"PayPay.d支払い、auPAY使えます 
 メンバーズカード得点有ります",神奈川県相模原市中央区田名4749-21,139.3339305,35.5517267
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
VIVACE,サービス業,"プライベートな空間でマンツーマンで行うパーソナルト
レーニングジム。重たいバーベルなどは使用しない自
重トレーニングです。",田名4350-8,042-769-5466,"9/22プレオ―プン 9/23グランドオープン
 オープン記念キャンペーンやってます。詳しくはHPで
確認してください。",神奈川県相模原市中央区田名4350-8,139.3411555,35.5513441
（株）伊坪自動車田名工場,サービス業,自動車整備業　車検・修理・鈑金,田名2920-6,042-762-4151,NA,神奈川県相模原市中央区田名2920-6,139.33502,35.5674864
江戸前寿司まさき,飲食業,寿司屋,田名4099-7,042-814-2228,NA,神奈川県相模原市中央区田名4099-7,139.3451599,35.5543485
小川和男養鶏場 直売所,小売業,"卵、ロールケーキ、プリン、相模原産野菜、シフォン
ケーキ等販売",田名7460,042-762-2915,NA,神奈川県相模原市中央区田名7460,139.3546665,35.5458375
（有）おしゃれサロンひよしや,小売業,婦人服、化粧品,田名4324-1,042-761-4500,ステッカー,神奈川県相模原市中央区田名4324-1,139.3396064,35.5525005
お食事の店 新月,飲食業,一般食堂（かつ丼 焼肉定食 豆乳ラーメンなど）,田名4457-5,042-787-2215,NA,神奈川県相模原市中央区田名4457-5,139.3385522,35.5520721
片野接骨院,その他,接骨院、エステ、脱毛,田名4321-1,042-701-5033,NA,神奈川県相模原市中央区田名4321-1,139.3402498,35.5529924
割烹 三代,飲食業,季節の料理、割烹の店,田名5026-1,042-761-5271,"相模原市で季節料理と割烹料理をご提供させていた
だいております。鮎料理、鰻料理(季節限定)や宴会法
事料理なども承ります。 
コロナ対策も十分に対応させていただきので、ご安心
してお運びください。",神奈川県相模原市中央区田名5026-1,139.3331575,35.5468865
木下動物病院,その他,動物病院,田名4794-3,042-763-1221,NA,神奈川県相模原市中央区田名4794-3,139.3331674,35.549726
小料理 めぐみ,飲食業,一品料理、お食事、お飲み物等を提供しています。,田名5664,042-762-9888,NA,神奈川県相模原市中央区田名5664,139.3375677,35.5434099
サーティーフォー交通（株）,サービス業,タクシー会社,田名4777-1,042-762-5530,NA,神奈川県相模原市中央区田名4777-1,139.3399364,35.5552585
相模原市農業協同組合 田名支店,小売業,NA,田名4826-6,042-762-0057,NA,神奈川県相模原市中央区田名4826-6,139.335318,35.5505578
酒処源ちゃん,飲食業,NA,田名3529-18,042-713-1688,NA,神奈川県相模原市中央区田名3529-18,139.3409077,35.566404
（有）しみず電化,小売業,電化製品販売,田名４３８７ー１,042-761-2696,NA,神奈川県相模原市中央区田名４３８７ー１,139.3427047,35.5497697
炭火焼ハンバーガー＆ステーキCHERRYS,飲食業,ステーキ、ハンバーガー等の販売,田名2294-13播州電気ビル1F,042-813-0770,NA,神奈川県相模原市中央区田名2294-13播州電気ビル1F,139.3307658,35.5636928
セブンイレブン相模原田名葛輪店,小売業,コンビニ,田名3512-1,042-761-7774,NA,神奈川県相模原市中央区田名3512-1,139.3419657,35.5676454
セブンイレブン相模原田名豊原店,小売業,コンビニエンスストア,田名3992-1,042-760-8024,NA,神奈川県相模原市中央区田名3992-1,139.3492224,35.5557243
セブンイレブン相模原田名堀之内店,小売業,コンビニエンスストア,田名4737-2,042-761-7765,NA,神奈川県相模原市中央区田名4737-2,139.3346487,35.55326489999999
セブンイレブン相模原田名望地店,小売業,コンビニエンスストア,田名8549-5,042-778-5811,NA,神奈川県相模原市中央区田名8549-5,139.3444245,35.538274
セブンイレブン相模原田名四ツ谷店,小売業,コンビニエンスストア,田名4430-1,042-760-0102,NA,神奈川県相模原市中央区田名4430-1,139.3392625,35.5521569
ダイヤ・ドライセンターヨークマート田名店,サービス業,クリーニング店です。衣類のお直しも承っております。 田名4693-1,NA,042-762-5998,NA,神奈川県相模原市中央区NA,139.3754694,35.5559466
タカハシ 田名店,小売業,"婦人服、紳士服、子供服、および靴下、下着類 
ならびに生活雑貨品を販売しています。",田名4107-1,050-3665-8343,"アプリ新規登録割引 
アプリ来店ポイント割引",神奈川県相模原市中央区田名4107-1,139.3453681,35.5553544
タナココ,小売業/その他,漢方、鍼灸接骨院、よもぎ蒸しサロン、カフェ,田名2126-1,042-813-3444,NA,神奈川県相模原市中央区田名2126-1,139.3399364,35.5552585
